[baseline].syntagma,[baseline].stemmed,[baseline].scope,[baseline].occur_syntagma_all,[baseline].occur_repl_uniq,[baseline].occur_repl_exhausted,[baseline].occur_redu_uniq,[baseline].occur_redu_exhausted,[baseline].occur_full_syn_repl,[baseline].occur_full_syn_redu,[document].doc_id,[document].redufree_len,[word].normalized_word,[word].rle_word,[word].stemmed,[word].pos,[word].polarity,[repl].id,[repl].index_in_corpus,[repl].index_in_redufree,[repl].repl_letter,[repl].repl_length,[repl].index_of_repl,[repl].in_redu,[redu].id,[redu].index_in_corpus,[redu].index_in_redufree,[redu].orig_words,[redu].redu_length,[context].contextL5,[context].context_infoL5,[context].contextL4,[context].context_infoL4,[context].contextL3,[context].context_infoL3,[context].contextL2,[context].context_infoL2,[context].contextL1,[context].context_infoL1
:-( || #shetlife || http://www.noooo.com,:-( || #shetlif || http://www.noooo.com,3,1,"[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 2, 0]",,,3333,[15],:-(,:-(^5,:-(,EMOASC,"[""negative"", -0.7249999999999999]",23,"[0, 16]","[0, 12]",(,5,2,,,,,,,not,"[""RB"", null, ""not""]",acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]",-(,"[""EMOASC"", null, ""-(""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]"
:-( || #shetlife || http://www.noooo.com,:-( || #shetlif || http://www.noooo.com,3,1,"[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 2, 0]",,,3333,[15],#shetlife,,#shetlif,hashtag,"[""negative"", -0.7249999999999999]",,,,,,,,4,"[0, 17]","[0, 13]","{""#shetlife"": 2}",2,acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]",-(,"[""EMOASC"", null, ""-(""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",:-(,"[""EMOASC"", null, "":-(""]"
"tiny || model || , || which || we","tini || model || , || which || we",5,1,"[0, 1, 0, 0, 0]","[0, 2, 0, 0, 0]","[1, 0, 0, 0, 0]","[6, 0, 0, 0, 0]",,,4444,[13],model,mo^7del^7,model,NN,"[""neutral"", 0.0]",24,"[0, 6]","[0, 1]",o,7,1,,,,,,,,,,,,,,,tiny,"[""JJ"", {""tiny"": 6}, ""tini""]"
"tiny || model || , || which || we","tini || model || , || which || we",5,1,"[0, 1, 0, 0, 0]","[0, 2, 0, 0, 0]","[1, 0, 0, 0, 0]","[6, 0, 0, 0, 0]",,,4444,[13],model,mo^7del^7,model,NN,"[""neutral"", 0.0]",25,"[0, 6]","[0, 1]",l,7,4,,,,,,,,,,,,,,,tiny,"[""JJ"", {""tiny"": 6}, ""tini""]"
"tiny || model || , || which || we","tini || model || , || which || we",5,1,"[0, 1, 0, 0, 0]","[0, 2, 0, 0, 0]","[1, 0, 0, 0, 0]","[6, 0, 0, 0, 0]",,,4444,[13],tiny,,tini,JJ,"[""neutral"", 0.0]",,,,,,,,5,"[0, 0]","[0, 0]","{""tiny"": 6}",6,,,,,,,,,,
. || :-( || @real_trump || #shetlife,. || :-( || @real_trump || #shetlif,4,1,"[1, 1, 0, 0]","[1, 1, 0, 0]",,,,,1111,"[4, 14]",.,.^6,.,symbol,"[""negative"", -0.1875]",9,"[1, 13]","[1, 8]",.,6,0,,,,,,,also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]",pity,"[""JJ"", {""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}, ""piti""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]"
. || :-( || @real_trump || #shetlife,. || :-( || @real_trump || #shetlif,4,1,"[1, 1, 0, 0]","[1, 1, 0, 0]",,,,,1111,"[4, 14]",:-(,:-(^5,:-(,EMOASC,"[""negative"", -0.1875]",10,"[1, 14]","[1, 9]",(,5,2,,,,,,,very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]",pity,"[""JJ"", {""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}, ""piti""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]",.,"[""symbol"", null, "".""]"
pity || for || me || . || :-(,piti || for || me || . || :-(,5,1,"[2, 0, 0, 1, 1]","[4, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","[4, 0, 0, 0, 0]",,,1111,"[4, 14]",pity,pi^9ty,piti,JJ,"[""negative"", -0.1875]",5,"[1, 7]","[1, 5]",i,9,1,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
pity || for || me || . || :-(,piti || for || me || . || :-(,5,1,"[2, 0, 0, 1, 1]","[4, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","[4, 0, 0, 0, 0]",,,1111,"[4, 14]",pity,pi^3t^3y^3,piti,JJ,"[""negative"", -0.1875]",6,"[1, 10]","[1, 5]",i,3,1,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
pity || for || me || . || :-(,piti || for || me || . || :-(,5,1,"[2, 0, 0, 1, 1]","[4, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","[4, 0, 0, 0, 0]",,,1111,"[4, 14]",pity,pi^3t^3y^3,piti,JJ,"[""negative"", -0.1875]",7,"[1, 10]","[1, 5]",t,3,2,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
